文件名称,文件大小,文件类型,文件最后修改时间,文件所在目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录
.lock,0,.lock,2020/12/23 10:19:23,E:\tmp\kafka-logs-9093,kafka-logs-9093,,,,,,,,,,,
recovery-point-offset-checkpoint,0,,2020/12/23 10:19:23,E:\tmp\kafka-logs-9093,kafka-logs-9093,,,,,,,,,,,
replication-offset-checkpoint,0,,2020/12/23 10:19:24,E:\tmp\kafka-logs-9093,kafka-logs-9093,,,,,,,,,,,
controller.log,308116,.log,2020/12/23 13:16:21,E:\tmp\logs,logs,,,,,,,,,,,
kafka-request.log,0,.log,2020/12/23 10:19:20,E:\tmp\logs,logs,,,,,,,,,,,
log-cleaner.log,0,.log,2020/12/23 10:19:20,E:\tmp\logs,logs,,,,,,,,,,,
server.log,39307,.log,2020/12/23 11:43:08,E:\tmp\logs,logs,,,,,,,,,,,
state-change.log,2344638,.log,2020/12/23 13:16:21,E:\tmp\logs,logs,,,,,,,,,,,
log.1,67108880,.1,2020/10/10 11:56:33,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.17,67108880,.17,2020/10/10 12:00:24,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.1c4,67108880,.1c4,2020/10/15 21:54:21,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.20,67108880,.20,2020/10/10 12:04:48,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.217,67108880,.217,2020/10/20 11:21:10,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.268,67108880,.268,2020/10/20 11:54:15,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.26f,67108880,.26f,2020/10/20 11:57:00,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.2af,67108880,.2af,2020/10/20 20:02:36,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.2b9,67108880,.2b9,2020/10/20 20:10:30,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.2bd,67108880,.2bd,2020/10/20 20:13:48,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.2bf,67108880,.2bf,2020/10/20 20:59:50,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.307,67108880,.307,2020/10/20 21:03:52,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.355,67108880,.355,2020/10/20 21:06:00,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.3a,67108880,.3a,2020/10/10 18:41:37,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.3a2,67108880,.3a2,2020/10/29 11:03:26,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.3f0,67108880,.3f0,2020/10/29 16:45:32,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.474,67108880,.474,2020/10/31 11:24:54,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.4b8,67108880,.4b8,2020/10/31 23:04:46,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.511,67108880,.511,2020/11/1 11:07:36,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.55f,67108880,.55f,2020/11/1 17:08:12,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.5a4,67108880,.5a4,2020/11/9 15:34:48,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.5f7,67108880,.5f7,2020/12/23 10:20:24,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.600,67108880,.600,2020/12/23 10:21:16,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.604,67108880,.604,2020/12/23 10:22:50,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.60a,67108880,.60a,2020/12/23 10:25:48,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.60e,67108880,.60e,2020/12/23 10:28:18,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.615,67108880,.615,2020/12/23 10:31:06,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.619,67108880,.619,2020/12/23 10:33:12,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.620,67108880,.620,2020/12/23 10:35:15,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.624,67108880,.624,2020/12/23 11:43:07,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
log.6c,67108880,.6c,2020/10/11 22:26:16,E:\tmp\zookeeper\version-2,zookeeper,version-2,,,,,,,,,,
