文件名称,文件大小,文件类型,文件最后修改时间,文件所在目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录
Teld.Core.HSF.Service.dll,77312,.dll,2020/9/3 23:12:23,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.Service.pdb,196096,.pdb,2020/9/3 23:12:23,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.Service.xml,8728,.xml,2020/9/3 23:12:23,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.ServiceDAC.dll,4608,.dll,2020/9/3 23:12:20,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.ServiceDAC.pdb,11776,.pdb,2020/9/3 23:12:20,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.SPI.dll,49152,.dll,2020/9/3 23:12:10,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.SPI.pdb,157184,.pdb,2020/9/3 23:12:10,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.Statistic.dll,11776,.dll,2020/9/3 23:12:18,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.Statistic.pdb,24064,.pdb,2020/9/3 23:12:18,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.RequestProxy.Service.dll,68608,.dll,2020/9/1 11:40:10,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.RequestProxy.Service.pdb,261632,.pdb,2020/9/1 11:40:10,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
TeldHost.exe,316416,.exe,2020/9/3 23:12:29,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
TeldHost.pdb,65024,.pdb,2020/9/3 23:12:29,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Scs.dll,133632,.dll,2020/9/3 23:00:47,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Scs.pdb,394752,.pdb,2020/9/3 23:00:47,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Scs.xml,183367,.xml,2020/9/3 23:00:47,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Teld.Core.HSF.Cluster.dll,34304,.dll,2020/9/3 23:00:46,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Teld.Core.HSF.Cluster.pdb,58880,.pdb,2020/9/3 23:00:46,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Teld.Core.HSF.DAC.dll,56320,.dll,2020/9/3 23:00:48,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Teld.Core.HSF.DAC.pdb,101888,.pdb,2020/9/3 23:00:48,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
